Call Number,Call # Formatted,Title,Title,Library,Author,Barcode,COPY,N/A,LOCATION,Loan,Edition,Year,Last Check-Out,Check-  Outs,Decision,Call Number 2,Field18,Title,Library 2,Barcode 2,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Date Created,Last Check-Out,Check-Outs
PN1995.9.M46 M4 1977,PN1995.9.M46M41977,Big bad wolves : masculinity in the American film / by Joan Mellen,Big bad wolves : masculinity in the American …,DOHENY,"Mellen, Joan",31275000498643,1,638929,BOOKSTACKS,4WK/SEMSTR,1st ed.,1977,4/23/2012,84,,PN1995.9.M46 M4 1977,PN1995.9.M46M41977,Big bad wolves : masculinity in the American film / by Joan Mellen,LEAVEY,31275005883138,,1,638929,BOOKSTACKS,4WK/SEMSTR,1st ed.,1977,9/25/1996,4/23/2014,252
PN1995.9.W6 R6 1974,PN1995.9.W6R61974,Popcorn Venus / Marjorie Rosen,Popcorn Venus / Marjorie Rosen…,GRANDDEPOS,"Rosen, Marjorie",31275005488235,1,613024,BOOKSTACKS,4WK/SEMSTR,lst ed.,1974,2/6/2013,58,,PN1995.9.W6 R6 1974,PN1995.9.W6R61974,Popcorn Venus / Marjorie Rosen,LEAVEY,31275000857608,,1,613024,BOOKSTACKS,4WK/SEMSTR,lst ed.,1974,9/25/1996,11/21/2014,221
PN2065 .C55 1970,PN2065.C551970,"Actors on acting; the theories, techniques, and practices of the great actors of all times as told in their own words. Edited with introductions & biographical notes by Toby Cole and Helen Krich Chinoy","Actors on acting; the theories, techniques, a…",GRANDDEPOS,"Cole, Toby, 1916- ed",31275001414730,1,616910,BOOKSTACKS,4WK/SEMSTR,New rev. ed.,1970,5/8/2012,26,,PN2065 .C55 1970,PN2065.C551970,"Actors on acting; the theories, techniques, and practices of the great actors of all times as told in their own words. Edited with introductions & biographical notes by Toby Cole and Helen Krich Chinoy",LEAVEY,31275016044100,,1,616910,BOOKSTACKS,4WK/SEMSTR,New rev. ed.,1970,9/25/1996,1/6/2011,176
DT450.435 .P78 1995,DT450.435.P781995,The Rwanda crisis : history of a genocide / Gérard Prunier,The Rwanda crisis : history of a genocide / G…,VKC,"Prunier, Gérard",31275027509141,1,506299,BOOKSTACKS,4WK/SEMSTR,-,1995,4/2/2014,87,,DT450.435 .P78 1995,DT450.435.P781995,The Rwanda crisis : history of a genocide / Gérard Prunier,LEAVEY,31275027883769,,1,506299,BOOKSTACKS,4WK/SEMSTR,-,1995,12/16/1996,11/24/2014,162
DS821 .T76,DS821.T76,"Sources of Japanese tradition, compiled by Ryūsaku Tsunoda, Wm. Theodore de Bary [and] Donald Keene","Sources of Japanese tradition, compiled by Ry…",GRANDDEPOS,"Tsunoda, Ryūsaku, ed",31275021884821,1,630429,BOOKSTACKS,4WK/SEMSTR,-,1958,10/1/2013,14,,DS821 .T76,DS821.T76,"Sources of Japanese tradition, compiled by Ryūsaku Tsunoda, Wm. Theodore de Bary [and] Donald Keene",LEAVEY,31275000820135,,1,630429,BOOKSTACKS,4WK/SEMSTR,-,1958,9/25/1996,4/29/2013,138
PN2065 .C55 1970,PN2065.C551970,"Actors on acting; the theories, techniques, and practices of the great actors of all times as told in their own words. Edited with introductions & biographical notes by Toby Cole and Helen Krich Chinoy","Actors on acting; the theories, techniques, a…",GRANDDEPOS,"Cole, Toby, 1916- ed",31275038541117,2,616910,BOOKSTACKS,4WK/SEMSTR,New rev. ed.,1970,9/26/2005,4,,PN2065 .C55 1970,PN2065.C551970,"Actors on acting; the theories, techniques, and practices of the great actors of all times as told in their own words. Edited with introductions & biographical notes by Toby Cole and Helen Krich Chinoy",LEAVEY,31275016044118,,2,616910,BOOKSTACKS,4WK/SEMSTR,New rev. ed.,1970,9/25/1996,12/7/2008,132
HB135 .S54,HB135.S54,The structure of economics : a mathematical analysis / Eugene Silberberg,The structure of economics : a mathematical a…,DOHENY,"Silberberg, Eugene",31275018205048,2,610574,BOOKSTACKS,4WK/SEMSTR,-,1978,8/20/2014,50,,HB135 .S54,HB135.S54,The structure of economics : a mathematical analysis / Eugene Silberberg,LEAVEY,31275001177733,,2,610574,BOOKSTACKS,4WK/SEMSTR,-,1978,9/25/1996,5/6/2009,126
PN2080 .M56 1982,PN2080.M561982,"Monologues--women 2 : 50 speeches from the contemporary theatre / edited by Robert Emerson, Jane Grumbach",Monologues--women 2 : 50 speeches from the co…,DOHENY,"Emerson, Robert",31275006658562,1,650197,BOOKSTACKS,4WK/SEMSTR,1st ed.,1982,8/17/1992,31,,PN2080 .M56 1982,PN2080.M561982,"Monologues--women 2 : 50 speeches from the contemporary theatre / edited by Robert Emerson, Jane Grumbach",LEAVEY,31275018325069,,1,650197,BOOKSTACKS,4WK/SEMSTR,1st ed.,1982,9/25/1996,10/1/2014,125
BJ1012 .H56 1996,BJ1012.H561996,Contemporary moral issues : diversity and consensus / Lawrence M. Hinman,Contemporary moral issues : diversity and con…,GRANDDEPOS,"Hinman, Lawrence M",31275035399980,1,930951,BOOKSTACKS,4WK/SEMSTR,-,1996,4/25/2005,55,,BJ1012 .H56 1996,BJ1012.H561996,Contemporary moral issues : diversity and consensus / Lawrence M. Hinman,LEAVEY,31275027867952,,1,930951,BOOKSTACKS,4WK/SEMSTR,-,1996,12/19/1996,10/10/2007,123
PR6029.R8 A635 1954,PR6029.R8A6351954,Animal farm; illustrated by Joy Batchelor and John Halas,Animal farm; illustrated by Joy Batchelor and…,GRANDDEPOS,"Orwell, George, 1903-1950",31275000197609,2,623949,BOOKSTACKS,4WK/SEMSTR,-,1954,3/26/2014,4,,PR6029.R8 A635 1954,PR6029.R8A6351954,Animal farm; illustrated by Joy Batchelor and John Halas,LEAVEY,31275004651023,,2,623949,BOOKSTACKS,4WK/SEMSTR,-,1954,9/25/1996,10/16/2014,121
