,,,,,,,"Leavey Library",,,,,,,,,,,,,,,,,
,,,,,,,"Head Count (Date) per Hour",,,,,,,,,,,,,,,,,
,,,,,,,"October 2017",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,"12 AM","1 AM","2 AM","3 AM","4 AM","5 AM","6 AM","7 AM","8 AM","9 AM","10 AM","11 AM","12 PM","1 PM","2 PM","3 PM","4 PM","5 PM","6 PM","7 PM","8 PM","9 PM","10 PM","11 PM"
"1 Sun",0,0,0,0,0,0,0,0,0,50,207,332,393,405,441,475,542,567,530,609,633,632,581,467
"2 Mon",205,138,87,46,34,25,16,18,61,120,266,257,254,262,277,367,350,337,356,340,365,391,392,374
"3 Tue",277,197,105,73,34,25,16,18,62,148,268,347,358,349,373,444,429,406,362,386,447,437,441,340
"4 Wed",272,198,114,64,36,25,20,27,47,104,217,310,303,312,361,387,426,389,380,392,368,393,438,340
"5 Thu",292,202,97,55,29,25,16,29,55,113,217,310,320,306,365,390,380,349,293,242,280,277,283,217
"6 Fri",137,106,55,34,29,25,16,29,32,151,154,206,229,252,282,267,297,304,308,261,255,237,216,276
"7 Sat",105,45,22,11,9,1,1,4,7,37,98,162,187,173,211,263,297,304,347,353,356,300,1994,228
"8 Sun",0,0,0,0,0,0,0,0,0,39,134,189,280,275,328,388,467,443,334,317,393,483,407,359
"9 Mon",232,151,79,41,30,20,15,25,66,118,245,286,319,330,380,446,407,384,418,442,462,488,479,455
"10 Tue",253,213,122,66,31,23,25,26,75,124,212,271,332,298,355,388,361,394,322,325,357,369,417,373
"11 Wed",0,0,0,0,28,22,22,32,80,150,262,307,295,285,272,325,412,397,442,443,463,437,444,414
"12 Thu",289,197,104,87,51,35,20,31,60,113,255,345,354,340,406,408,382,390,298,291,298,293,292,266
"13 Fri",155,99,63,35,17,31,16,18,44,110,177,219,291,302,347,354,367,283,284,258,298,293,221,175
"14 Sat",108,70,26,20,22,12,10,9,56,97,50,167,199,226,240,347,408,320,295,278,312,285,231,176
"15 Sun",0,0,0,0,0,0,0,0,0,49,183,288,273,341,412,432,389,440,392,355,462,424,354,328
"16 Mon",166,94,80,47,36,24,17,23,63,110,240,275,300,319,428,450,416,405,465,468,486,460,528,507
"17 Tue",334,213,102,51,36,24,22,21,52,150,263,351,367,356,381,408,425,432,429,319,391,404,430,380
"18 Wed",204,147,86,43,30,22,13,21,55,116,254,273,283,329,402,418,367,378,421,460,476,482,366,261
"19 Thu",225,168,114,90,55,31,33,37,64,130,245,333,341,337,381,388,377,325,276,258,345,342,280,266
"20 Fri",119,71,46,33,19,18,18,15,44,96,178,206,212,255,251,266,276,332,304,292,278,253,208,199
"21 Sat",106,50,36,19,14,7,6,2,9,64,97,159,191,217,283,315,427,387,299,297,283,273,219,199
"22 Sun",0,0,0,0,0,0,0,0,0,34,134,259,315,337,400,453,446,412,408,354,401,422,364,313
"23 Mon",173,110,68,24,19,18,23,22,52,111,257,289,296,311,418,419,387,389,408,432,459,390,396,349
"24 Tue",301,184,91,41,21,11,17,15,42,123,246,342,321,336,395,426,425,423,418,349,391,419,450,385
"25 Wed",273,181,113,71,46,37,32,26,47,116,242,264,265,264,304,406,446,406,419,468,445,461,437,409
"26 Thu",304,204,112,68,46,37,32,26,51,120,221,318,317,320,372,368,388,367,286,265,296,296,321,294
"27 Fri",200,124,62,31,21,16,14,14,41,89,151,215,231,233,372,368,350,371,325,323,270,261,247,238
"28 Sat",104,86,52,22,11,6,8,4,13,41,136,183,243,223,294,309,341,379,356,362,344,258,230,130
"29 Sun",0,0,0,0,0,0,0,0,0,32,144,216,259,376,434,477,460,427,376,417,451,474,408,359
"30 Mon",200,124,62,31,41,32,22,29,73,132,267,288,279,297,367,430,390,402,442,457,452,481,466,412
"31 Tue",276,203,116,68,35,27,13,22,56,98,227,343,336,314,345,405,406,400,381,368,412,391,423,342
