Call Number,Call Number (Formatted),Title,Author,Barcode,Library,Home Location,Current Location,Year,Date Added,Last Check-Out,Check-Outs,,
ZA4482 .B596 2009,ZA4482.B5962009,"Content nation : surviving and thriving as social media changes our work, our lives, and our future / John Blossom","Blossom, John, 1954-",31275046048881,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,4/22/2009,Never,0,,
ZA3075 .L46 2010,ZA3075.L462010,The Facts on File guide to research / Jeff Lenburg,"Lenburg, Jeff",31275049232839,LEAVEY,BOOKSTACKS,BOOKSTACKS,2010,6/1/2011,Never,0,,
ZA3075 .B87 2003,ZA3075.B872003,"Teaching information literacy : 35 practical, standards-based exercises for college students / Joanna M. Burkhardt, Mary C. MacDonald, Andrée J. Rathemacher","Burkhardt, Joanna M",31275037934479,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,8/3/2003,1/13/2010,4,,
Z8971.5 .M93 1993 Suppl.,Z8971.5.M931993Suppl.,"Supplement to ""Walt Whitman, a descriptive bibliography"" / by Joel Myerson","Myerson, Joel",31275048512603,LEAVEY,BOOKSTACKS,BOOKSTACKS,2011,9/12/2011,Never,0,,
Z7551 .M36,Z7551.M36,DataMap,,1012266-9001,LEAVEY,BOOKSTACKS,BOOKSTACKS,19,1/24/1997,Never,0,,
Z733.U58 G66,Z733.U58G66,"Treasures of the Library of Congress / Charles A. Goodrum ; [editor, Edith M. Pavese]","Goodrum, Charles A",31275001451914,LEAVEY,BOOKSTACKS,BOOKSTACKS,1980,9/25/1996,7/29/2004,16,,
Z7164.I8 I48,Z7164.I8I48,Intercom,"Intercom (New York, N.Y.)",1027149-1001,LEAVEY,BOOKSTACKS,BOOKSTACKS,1959,1/26/1997,Never,0,,
Z711.2 .Y68 1999,Z711.2.Y681999,Working with faculty to design undergraduate information literacy programs : a how-to-do-it manual for librarians / Rosemary M. Young and Stephena Harmony,"Young, Rosemary, 1950-",31275034858986,LEAVEY,BOOKSTACKS,BOOKSTACKS,1999,3/7/2000,4/21/2011,31,,
Z711.2 .F87 2000,Z711.2.F872000,"Future teaching roles for academic librarians / Alice Harrison Bahr, editor","Bahr, Alice Harrison",31275036478866,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,12/15/2001,5/9/2006,16,,
Z699 .U74 1983,Z699.U741983,"Using online catalogs : a nationwide survey : a report of a study sponsored by the Council on Library Resources / edited by Joseph R. Matthews, Gary S. Lawrence, and Douglas K. Ferguson","Matthews, Joseph R",31275006416854,LEAVEY,BOOKSTACKS,BOOKSTACKS,1983,1/4/1997,2/14/2011,40,,
Z678 .E89 2003,Z678.E892003,Beyond the basics : the management guide for library and information professionals / G. Edward Evans and Patricia Layzell Ward,"Evans, G. Edward, 1937-",31275040121023,LEAVEY,BOOKSTACKS,BOOKSTACKS,2003,9/22/2005,Never,0,,
Z674 .A8 no.287,Z674.A8no.287,"Instructional improvement programs / Scott Walter, Lisa Janicke Hinchliffe","Walter, Scott",31275040118276,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,8/29/2005,Never,0,,
Z674 .A75 no.58,Z674.A75no.58,Centers for learning : writing centers and libraries in collaboration / [edited by] James K. Elmborg and Sheril Hook,"Elmborg, James K., 1953-",31275040125610,LEAVEY,BOOKSTACKS,BOOKSTACKS,2005,11/16/2005,Never,0,,
Z665 .I15 2000x,Z665.I152000x,"i in the sky : visions of the information future / Alison Scammell, editor","Scammell, Alison",31275034590027,LEAVEY,BOOKSTACKS,BOOKSTACKS,2000,8/15/2001,1/11/2011,6,,
Z665.2.U6 E23 1995,Z665.2.U6E231995,"The whole library handbook 2 : current data, professional advice, and curiosa about libraries and library services / compiled by George M. Eberhart","Eberhart, George M",31275027375337,LEAVEY,BOOKSTACKS,BOOKSTACKS,1995,9/25/1996,10/16/2005,5,,
Z658.R87 R88 2009,Z658.R87R882009,"Fighting words : imperial censorship and the Russian press, 1804-1906 / Charles A. Ruud ; with a new introduction","Ruud, Charles A., 1933-",31275046970712,LEAVEY,BOOKSTACKS,BOOKSTACKS,2009,2/25/2010,Never,0,,
