,10/1/17,10/2/17,10/3/17,10/4/17,10/5/17,10/6/17,10/7/17,10/8/17,10/9/17,10/10/17,10/11/17,10/12/17,10/13/17,10/14/17,10/15/17,10/16/17,10/17/17,10/18/17,10/19/17,10/20/17,10/21/17,10/22/17,10/23/17,10/24/17,10/25/17,10/26/17,10/27/17,10/28/17,10/29/17,10/30/17,10/31/17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AM,,324057,336135,349103,362354,373425,381796,,397165,411437,424610,437737,450352,459751,,475338,487754,500301,512064,522884,530725,,544851,556781,569562,582500,593524,601670,,617258,629867,12 AM
1 AM,,324316,336434,349456,362636,373612,381959,,397441,411843,425033,438027,450595,459883,,475558,488068,500612,512322,523056,530846,,545070,557085,569989,582856,593752,601758,,617478,630182,1 AM
2 AM,,324485,336694,349725,362930,373749,382000,,397641,412137,425287,438285,450747,459959,,475699,488340,500839,512561,523139,530907,,545187,557320,570183,583117,593912,601886,,617679,630424,2 AM
3 AM,,324600,336852,349867,363066,373837,382051,,397750,412275,425501,438429,450833,460000,,475804,488498,500971,512676,523201,530944,,545293,557468,570278,583287,593987,601955,,617785,630567,3 AM
4 AM,,324705,336923,349956,363163,373870,382070,,397806,412338,425632,438528,450890,460025,,475847,488580,501053,512769,523237,530962,,545365,557542,570346,583351,594022,602000,,617877,630658,4 AM
5 AM,,324790,336995,350014,363261,373905,382094,,397851,412383,425664,438606,450950,460045,,475895,488601,501165,512816,523273,530977,,545405,557646,570392,583410,594057,602013,,617927,630702,5 AM
6 AM,,324820,337041,350110,363294,373960,382097,,397951,412434,425791,438671,451002,460056,,475922,488632,501196,512866,523309,530998,,545470,557672,570436,583490,594084,602031,,617995,630759,6 AM
7 AM,,324875,337098,350174,363363,374082,382113,,398008,412545,425856,438733,451042,460073,,476031,488725,501273,512952,523405,531016,,545502,557730,570552,583570,594180,602043,,618042,630871,7 AM
8 AM,,324932,337312,350338,363514,374216,382160,,398119,412722,426046,438937,451193,460199,,476168,488872,501397,513103,523535,531089,,545622,557880,570682,583675,594285,602126,,618175,631057,8 AM
9 AM,315995,325241,337578,350578,363718,374565,382222,388762,398492,413069,426416,439154,451520,460215,467454,476447,489089,501657,513369,523781,531257,537391,545897,558116,570979,583892,594496,602213,608892,618451,631230,9 AM
10 AM,316215,325856,338175,351015,364246,374833,382476,389031,399173,413832,427082,439763,451863,460410,467724,477022,489649,502185,513908,524134,531414,537621,546522,558636,571621,584345,594861,602521,609145,619103,631695,10 AM
11 AM,316521,326394,338902,351824,364940,375486,382835,389345,399851,414706,428543,440509,452025,460669,468065,477593,490388,502847,514638,524539,531673,537904,547019,559408,572361,584984,595381,602924,609485,619705,632428,11 AM
12 PM,317005,327343,339667,352793,365646,375989,383299,389756,401035,415428,428910,441275,453238,461094,468371,478516,491103,503542,515591,525118,532001,538291,547824,560150,573180,585588,595914,603483,610025,620506,633106,12 PM
1 PM,317484,327905,340753,353876,366638,376916,383965,390397,401905,416445,429489,442336,453689,461457,468979,479408,492175,504578,516454,525752,532642,538869,548578,561208,574051,586491,596548,604027,610510,621365,634055,1 PM
2 PM,318107,328827,341862,354902,367630,377623,384387,391014,403044,417510,430476,443522,454250,462066,469636,480648,493078,505527,517447,526582,533071,539537,549485,562179,575130,587571,597115,604415,611163,622468,635114,2 PM
3 PM,318741,329677,342610,355823,368199,378238,384848,391555,403847,418256,431337,444234,454984,462815,470262,481125,494001,506222,518021,527104,533632,540215,550221,562980,575927,588349,597622,604964,611933,623443,635786,3 PM
4 PM,319406,330469,343548,356910,369096,378827,385210,392326,404819,419175,432298,445284,456051,464030,470585,481905,495131,507239,518838,527596,534138,540790,551125,563857,577021,589403,598368,605388,612540,624160,636982,4 PM
5 PM,320010,331283,344366,357761,369853,379320,385621,393099,405907,419886,433042,446014,456852,465223,471365,482829,495626,507949,519466,528054,534651,541297,551917,564808,577875,589786,598788,605965,613168,624951,637738,5 PM
6 PM,320687,331961,345331,358500,370572,379833,386338,393626,406948,420789,433796,446850,457460,465668,472106,483731,496532,508739,520242,528613,535127,541880,552688,565964,578679,590429,599378,606557,613812,625735,638660,6 PM
7 PM,321410,332779,346067,359366,371191,380325,386850,394446,407761,421475,434816,447600,458026,465822,472420,484516,497309,509562,520887,529013,535631,542515,553749,566648,579553,591156,599860,607070,614452,626743,639385,7 PM
8 PM,322016,333634,346789,360005,371881,380712,387267,395104,408669,422291,435386,448471,458451,466060,473435,485294,498092,510211,521454,529586,535987,543085,554437,567473,580197,591815,600290,607503,615142,627551,640038,8 PM
9 PM,322677,334258,347447,360582,372340,381030,387707,395753,409432,422793,436061,449158,458830,466435,474089,486037,498683,510789,521716,529824,536318,543695,555061,567915,580890,592320,600677,607914,615861,628146,640628,9 PM
10 PM,323149,334889,348111,361318,372764,381356,388038,396308,410121,423617,436646,449678,459291,466809,474568,486628,499313,511345,522286,530268,536739,544118,555660,568629,581487,592839,601109,608235,616403,628750,641311,10 PM
11 PM,323711,335594,348748,361900,373120,381574,388307,396756,410958,424227,437153,450058,459568,467063,474994,487176,499792,511678,522575,530525,536956,544470,556328,569190,582016,593213,601387,608490,616842,629415,641914,11 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/1/17,10/2/17,10/3/17,10/4/17,10/5/17,10/6/17,10/7/17,10/8/17,10/9/17,10/10/17,10/11/17,10/12/17,10/13/17,10/14/17,10/15/17,10/16/17,10/17/17,10/18/17,10/19/17,10/20/17,10/21/17,10/22/17,10/23/17,10/24/17,10/25/17,10/26/17,10/27/17,10/28/17,10/29/17,10/30/17,10/31/17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AM,0,346,541,355,454,305,222,0,409,479,383,584,294,183,0,344,578,509,386,309,200,0,381,453,372,484,311,283,0,416,452,12 AM
1 AM,0,259,299,353,282,187,163,0,276,406,423,290,243,132,0,220,314,311,258,172,121,0,219,304,427,356,228,88,0,220,315,1 AM
2 AM,0,169,260,269,294,137,41,0,200,294,254,258,152,76,0,141,272,227,239,83,61,0,117,235,194,261,160,128,0,201,242,2 AM
3 AM,0,115,158,142,136,88,51,0,109,138,214,144,86,41,0,105,158,132,115,62,37,0,106,148,95,170,75,69,0,106,143,3 AM
4 AM,0,105,71,89,97,33,19,0,56,63,131,99,57,25,0,43,82,82,93,36,18,0,72,74,68,64,35,45,0,92,91,4 AM
5 AM,0,85,72,58,98,35,24,0,45,45,32,78,60,20,0,48,21,112,47,36,15,0,40,104,46,59,35,13,0,50,44,5 AM
6 AM,0,30,46,96,33,55,3,0,100,51,127,65,52,11,0,27,31,31,50,36,21,0,65,26,44,80,27,18,0,68,57,6 AM
7 AM,0,55,57,64,69,122,16,0,57,111,65,62,40,17,0,109,93,77,86,96,18,0,32,58,116,80,96,12,0,47,112,7 AM
8 AM,0,57,214,164,151,134,47,0,111,177,190,204,151,126,0,137,147,124,151,130,73,0,120,150,130,105,105,83,0,133,186,8 AM
9 AM,356,309,266,240,204,349,62,455,373,347,370,217,327,16,391,279,217,260,266,246,168,435,275,236,297,217,211,87,402,276,173,9 AM
10 AM,220,615,597,437,528,268,254,269,681,763,666,609,343,195,270,575,560,528,539,353,157,230,625,520,642,453,365,308,253,652,465,10 AM
11 AM,306,538,727,809,694,653,359,314,678,874,1461,746,162,259,341,571,739,662,730,405,259,283,497,772,740,639,520,403,340,602,733,11 AM
12 PM,484,949,765,969,706,503,464,411,1184,722,367,766,1213,425,306,923,715,695,953,579,328,387,805,742,819,604,533,559,540,801,678,12 PM
1 PM,479,562,1086,1083,992,927,666,641,870,1017,579,1061,451,363,608,892,1072,1036,863,634,641,578,754,1058,871,903,634,544,485,859,949,1 PM
